AE;Code SANDRE de la station;Nom de la station;Réseaux de mesure;RCS;RCO;RRP;RCB/RCR;CoordX;CoordY;ECHELLESTA COMITER;Contexte piscicole;TYPEFR_CONSOLIDE;Code Masse d'eau;Type de station;AREA_KM2_ME
AERMC;06580671;TARET A TARARE ;;NON;NON;NON;;;;;;TP3;FRDR11355;;
AERMC;06580672;CHANELLIERE A TARARE 1;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580673;RUISSEAU DE BOUSUIVRE A ST-MARCEL-L'ECLAIRE ;;NON;NON;NON;;;;;;TP3;FRDR11636;;
AERMC;06580674;RONZIERE A ST-FORGEUX ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580675;TORRANCHIN A VILLECHENEVE ;;NON;NON;NON;;;;;;TP3;FRDR10778;;
AERMC;06580676;TORRANCHIN A ST-FORGEUX ;;NON;NON;NON;;;;;;TP3;FRDR10778;;
AERMC;06580677;ROBAGNY A MONTROTTIER 1;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580678;CHEVROTIERES A MONTROTTIER 1;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580679;RUISSEAU DE MAZIEUX A ST-FORGEUX ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580680;RUISSEAU DU BATAILLY A ST-ROMAIN-DE-POPEY 2;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580681;RUISSEAU DU BATAILLY A ST-ROMAIN-DE-POPEY 1;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580682;RUISSEAU DE REPIEL A BULLY ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580683;RUISSEAU DU BOIS DES PLAGNES A SAVIGNY ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580684;THURIEUX A L'ARBRESLE ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580685;BREVENNE A GREZIEU-LE-MARCHE ;;NON;NON;NON;;;;;;TP3;FRDR569b;;
AERMC;06580686;BREVENNE A MEYZ 1;;NON;NON;NON;;;;;;TP3;FRDR569b;;
AERMC;06580687;RUISSEAU DE COMBRON A HAUTE-RIVOIRE ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580688;RUISSEAU DE CHARAVET A SOUZY ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580689;RUISSEAU D'ORJOLLE A DUERNE ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580690;GOUTTE SARDON A CHAMOUSSET 1;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580691;RUISSEAU DE RANDONNIERE A COURZIEU ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580692;ROSSAND A MONTROMANT 3;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580693;ROSSAND A MONTROMANT 1;;NON;NON;NON;;;;;;TP3;FRDR10818;;
AERMC;06580694;ROSSAND A MONTROMANT 2;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580695;COSNES A MONTROTTIER 1;;NON;NON;NON;;;;;;TP3;FRDR10728;;
AERMC;06580696;COSNES A BRULLIOLES 1;;NON;NON;NON;;;;;;TP3;FRDR10728;;
AERMC;06580697;RUISSEAU DE COSNES A BRUSSIEU 1;;NON;NON;NON;;;;;;TP3;FRDR10728;;
AERMC;06580698;RUISSEAU DE GLAVAROUX A BESSENAY ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580700;ST CRY A COURZIEU ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580701;RUISSEAU DE CHAPOTON A BESSENAY ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580702;TOURETTE A ST-PIERRE-LA-PALUD 1;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580703;CONAN A MONTROTTIER 1;;NON;NON;NON;;;;;;TP3;FRDR11801;;
AERMC;06580704;CONAN A ST-JULIEN-SUR-BIBOST ;;NON;NON;NON;;;;;;TP3;FRDR11801;;
AERMC;06580705;RUISSEAU DE LA PELOUSE A BIBOST ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580706;RUISSEAU DU PENON A SAVIGNY ;;NON;NON;NON;;;;;;TP3;;;
AERMC;06580707;TRESONCLE A ANCY 2;;NON;NON;NON;;;;;;TP3;FRDR10407;;
AERMC;06580708;TRESONCLE A ANCY 1;;NON;NON;NON;;;;;;TP3;FRDR10407;;
AERMC;06580709;TRESONCLE A SAVIGNY 1;;NON;NON;NON;;;;;;TP3;FRDR10407;;
AERMC;06580710;TRESONCLE A SAVIGNY 2;;NON;NON;NON;;;;;;TP3;FRDR10407;;
AERMC;06580711;REYSSOUZE A VIRIAT 4;;NON;NON;NON;;;;;;MP15;FRDR593a;;
AERMC;06580712;GLANDON A ST-ALBAN-DES-VILLARDS ;;NON;NON;NON;;;;;;MP2;FRDR359;;
AERMC;06580713;GLANDON A STE-MARIE-DE-CUINES ;;NON;OUI;NON;;;;;;MP2;FRDR359;;
AERMC;06580713;GLANDON A STE-MARIE-DE-CUINES ;;NON;NON;NON;;;;;;MP2;FRDR359;;
AERMC;06580713;GLANDON A STE-MARIE-DE-CUINES ;;OUI;NON;NON;;;;;;MP2;FRDR359;;
